10000000019,9322349340,1921958667,116108,7217,235,607
100000000000000000039,89951393186720294033,26135327929659638076,11876954936,509599,419481,3373
1000000000000000000000000000057,106991342299430347297585638871,188675017969977395328028624483,9586166844055967,14077590431530,22429269288900,4934867
10000000000000000000000000000000000000121,4902559719197972567355860705693483269960,1108182596968252581482904098615171436619,136850847522421485837,4858820576325,5128710645172,5627651,10966,13232,267
100000000000000000000000000000000000000000000000151,4168493225324236537663200519121316886619997624556,45590400574778487393338352639345746341371438526095,13601869893526828282016090,333961040995,170482403318,935683,40410,98277,1193
1000000000000000000000000000000000000000000000000000000000007,582594560733647942864167554683101932559817757617443321218616,485107000290978194104100671498974843211121245518759155383025,1591141197950235962428006613308,13059006973177308093777996339,13059586929974475337549368522,1179275706066947,10409174197,23529769559,248836
10000000000000000000000000000000000000000000000000000000000000000000033,9193638238367761016751675951961267177328031093306760076142420392370661,5154446894383162465732893340634268054473714420328923353004710402276202,177664059059812136202711786749417049,8649705917060546335363234070525383,42605680596938635666326245539183459,303885057908347530,9987604800409038,5847492647777907,1449221531,3881343,7598118,3432
100000000000000000000000000000000000000000000000000000000000000000000000000000129,21738970501572142787334250995459457313706731047873015853200788703257646728746387,41991271598373420878627810537757671546773541549398474815901013810480424900203390,10475053568008371237180368561737331009607,6251483180616232563867118006,2989838890071853567090370520,109497485294994,64373892028,116329932035,967431233,82783,99666,1889
1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000289,292390063605290292583797761883066555291812969778434353799388301927489872556173779693570186,201936337656195409865372057596506482368540069004779260915505630735608561247615266092698548,1495231769958646021642577303700692519195356608,1370055486155935701230818919713,631674234039720505250594205971,2824893046457853,65743,243188,50291
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000267,9922776908302697864551893522633781539036740348871476332653810465626471659307742084010027213820226625,2836186773449440978191705565856816079355043173337102496065404967247933485306358946184015108636857285,159990589984239373593745787852818347617199852606512,989772819515561949937579106033692378969575949199,160869327784807806952128639954291424038666088760,2979396535159070660937591,221054722104,68038539734,625635
100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007,6463512687231274453314405725127389227686510737885438111434665718277396637427547966320233024608351230230861450,94164843423036637004338287352695725396243376738721874335250825798680411803544771226508486391278261756148716303,11887982306821438660772844495374643156319942615511664684,202249972180221490910665359620639420738815558212027,150718343273118010945877719422581588244803222920063,69271420438922496826047729,1783250918118183,7920143168078823,192942401,8303705,3827745,37339
1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000079,132063756553348037607726246459351520545782379718387545073787885595088443428910224053262081547377506070464921665690244443,766759587882597019696391814500801893207393762520787020231259750746628420452950574472606593873044215447309872888211933399,2032407269668174614737384431875199029029184284197878747552629,1199197362586136210273591905540461080971671185565224891285,1235746649075380226211220902889073034006519549905970133438,103755726490907726500461806304,3092901622776628753789127,800991492200408803139269,9138053287529,5714221,2420272,45971
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001113,8838054562218699739469769827167347178366084538631527476350638177688407070489981665391546772154550105442112460156690474042240671153,9070442852984080644726137002845969709600170053521757279077458871926798567371260193902248343382297986025014308252012522028148277940,143023612271167604986843854406903897909541795703955557853382262527,4279311677016680608246200050783064414358575781642362807565916,2514922654280625968927317951358588049284674438860504597506761,4852063280663853797388579475379,8756592747341738788031594,5272134364285153528036270,3037506078068
100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013,58641989056675720896672212411665741567276120290417855224286073593918069783779639337562924504400725658476104789609335447371195336334882769838,49477426077173743212373028968808725584389507235326871104842053964179679773766627681933870798077570405431407409265070868732921824050415203356,13102807158286493606695640041882330489449163784474568128908900189019724,9194143353218612803141831381890939699022032316343544916837584131946,9446062608280649498405523563298491468876161342077046283467239660178,3772692773649837804777542519049033,104014555298455253904175742770,56869381954496753251959470195,815915526665845,1388267,2031435,164771
1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067,318242351116513938119517967616301475671486714041557198261085687482277145984397246332451109797710555221454953956380848003465751737440305039178134859211,720477903566384043117699259849645626560674563858596916881593754258176690470197473175283690734334846930259881683458635858051341569534187208064885697331,3274688382283250370121362465461297838165277819878561512256860826179463643421,419710093855186023983988396848350352203085299959848344457841346392366791,2738868097477462328198525091918736337577217055081977682817874517862422856,7790490239009640360339423052989945581,165044629407820523237731842524831306,65747092211780530324214107412979080,536903698434235914,19738996086605,20356708900543,4294067863,719611,318088,127969
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,1459610408796319836784355481875424878795873921791031879135324980121367679324525174627177955281717548199131578517243540832793275941249177793495795195459013374976,4758106707451115267653405186080802099032088051348450733120020318362579889791887278021953210724205680736180811567428047248223479702468810707973314657809819169814,1019270628659222703537437424625804232803263645948203567236028599943201735592927793,448568730017408308873597708912961564403152659118218528354017946397296103365610,43320014997290486975014588988392937147131394524080329101272755177864009581337,700117564993251844165020303999846974095,718795565085543471731276397799125154,10968362732951735055925268568007215413,6744096990366654554,2535320783744295006,618160122705634570,4589520461,900519,465044,1420
